,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
460,1000.00,948.02,896.24,844.86,794.08,744.06,694.99,647.02,600.28,554.90,510.98,468.59,427.79,388.61,351.05,315.10,280.71,247.83,216.37,186.23,157.28,129.38,102.39,76.13,50.44,25.13,0.00
461,1000.00,948.07,896.34,845.01,794.27,744.30,695.26,647.33,600.62,555.27,511.36,468.99,428.20,389.01,351.45,315.49,281.09,248.19,216.70,186.53,157.54,129.61,102.57,76.28,50.54,25.17,0.00
462,1000.00,948.12,896.44,845.16,794.46,744.53,695.54,647.63,600.96,555.63,511.75,469.38,428.60,389.42,351.85,315.88,281.46,248.54,217.03,186.82,157.80,129.83,102.76,76.41,50.63,25.22,0.00
463,1000.00,948.17,896.54,845.31,794.65,744.77,695.81,647.94,601.29,555.99,512.13,469.78,429.00,389.82,352.25,316.27,281.84,248.89,217.36,187.12,158.07,130.06,102.94,76.55,50.72,25.27,0.00
464,1000.00,948.22,896.64,845.45,794.85,745.00,696.08,648.25,601.63,556.35,512.51,470.17,429.40,390.22,352.65,316.66,282.21,249.24,217.68,187.42,158.33,130.28,103.12,76.69,50.82,25.31,0.00
465,1000.00,948.27,896.74,845.60,795.04,745.23,696.35,648.55,601.96,556.71,512.88,470.56,429.80,390.62,353.04,317.04,282.58,249.59,218.01,187.71,158.59,130.50,103.31,76.83,50.91,25.36,0.00
466,1000.00,948.32,896.84,845.74,795.22,745.46,696.62,648.86,602.30,557.07,513.26,470.95,430.20,391.02,353.44,317.43,282.95,249.94,218.33,188.00,158.85,130.72,103.49,76.97,51.00,25.41,0.00
467,1000.00,948.37,896.93,845.89,795.41,745.69,696.89,649.16,602.63,557.42,513.63,471.34,430.59,391.42,353.83,317.81,283.32,250.29,218.65,188.30,159.11,130.95,103.67,77.11,51.10,25.46,0.00
468,1000.00,948.42,897.03,846.03,795.60,745.92,697.16,649.46,602.96,557.78,514.01,471.73,430.99,391.82,354.22,318.19,283.68,250.64,218.97,188.59,159.36,131.17,103.85,77.24,51.19,25.50,0.00
469,1000.00,948.47,897.13,846.17,795.79,746.15,697.42,649.76,603.29,558.13,514.38,472.11,431.38,392.21,354.61,318.57,284.05,250.98,219.29,188.88,159.62,131.39,104.03,77.38,51.28,25.55,0.00
